dataset_id,dataset_name,family,srsd_variant,algorithm,train_nmse,valid_nmse,id_nmse,ood_nmse
g0018,feynman-i.38.12,srsd,medium dummy,gplearn,118032.72668602846,1.3068312509861302e+81,1.2154233228433583e+81,6.388942887083656e+85
g0018,feynman-i.38.12,srsd,medium dummy,llmsr,3.878930736209525e+64,4.105844899811602e+64,3.857541670088098e+64,2.3498666851514877e+69
g0018,feynman-i.38.12,srsd,medium dummy,pyoperon,1.0,1.0,1.0,1.0
g0018,feynman-i.38.12,srsd,medium dummy,pysr,1.2069634029537252e+81,1.3068312509861302e+81,1.2154233228433583e+81,6.388942887083656e+85
g0018,feynman-i.38.12,srsd,medium dummy,tpsr,6.938922808118774e+32,8.052847094981638e+32,6.878820238742212e+32,4.221595751767729e+37
g0019,feynman-ii.15.5,srsd,easy dummy,drsr,4.766641909125922e+40,4.949377425008244e+40,4.2742553257293072e+40,1.5107200793617848e+35
g0019,feynman-ii.15.5,srsd,easy dummy,dso,0.9927523568276416,0.9974523667094628,1.0020523355562223,3.425873811506356
g0019,feynman-ii.15.5,srsd,easy dummy,gplearn,1.0000805379886155,1.8548817490433162e+57,1.4968586341609236e+57,1.6308872495478178e+52
g0019,feynman-ii.15.5,srsd,easy dummy,llmsr,1.8265102132222718e+61,1.9167223608387966e+61,1.629769611711614e+61,1.627842367410219e+56
g0019,feynman-ii.15.5,srsd,easy dummy,pyoperon,1.0,1.0,1.0,1.0
g0019,feynman-ii.15.5,srsd,easy dummy,pysr,2.5210730222824017e+35,2.702359221442257e+35,2.145049232106732e+35,1.9069457917630505e+29
g0019,feynman-ii.15.5,srsd,easy dummy,tpsr,1.4915817225210235e+65,1.5653158202980507e+65,1.3307650804787063e+65,1.3350443125468773e+60
g0020,feynman-i.29.4,srsd,medium dummy,drsr,1.7044087179472066e+34,2.309600945613899e+34,1.889075678450356e+34,3.291496453965571e+34
g0020,feynman-i.29.4,srsd,medium dummy,dso,0.5252570219609776,0.5382732803462476,0.527671995591343,0.6375041449440533
g0020,feynman-i.29.4,srsd,medium dummy,gplearn,0.0014848210400724,0.0017326710206661,0.0015450417776344,0.1522499362746349
g0020,feynman-i.29.4,srsd,medium dummy,llmsr,7.078952540571986e+40,9.583983848442633e+40,7.846166369916213e+40,8.508893725716374e+40
g0020,feynman-i.29.4,srsd,medium dummy,pyoperon,1.0,1.0,1.0,1.0
g0020,feynman-i.29.4,srsd,medium dummy,pysr,1.3601680268253722e-15,1.470759766557185e-15,1.2692979526034348e-15,1.7781284417941505e-18
g0020,feynman-i.29.4,srsd,medium dummy,tpsr,0.5701381028144386,0.5909538025400899,0.5754776758171003,0.6505345945704737
g0021,feynman-i.14.3,srsd,easy dummy,drsr,252768494575080.84,187357930743200.1,224054093296306.1,6.521833733593752e+16
g0021,feynman-i.14.3,srsd,easy dummy,dso,0.0460710101788123,0.0328670321813608,0.043438513453365,0.0173004376110012
g0021,feynman-i.14.3,srsd,easy dummy,gplearn,0.0001830450556195,0.000182160557764,0.0001697571191618,0.00219800055876
g0021,feynman-i.14.3,srsd,easy dummy,llmsr,5.642491573535039e+22,4.182346942989782e+22,5.00150676257734e+22,1.455853583922583e+25
g0021,feynman-i.14.3,srsd,easy dummy,pyoperon,3.294432721923428e-06,3.294343048686693e-06,3.2990266972952696e-06,3.2959904459740297e-06
g0021,feynman-i.14.3,srsd,easy dummy,pysr,1.7629734179479317e-15,1.6488451219497193e-15,1.5088912902647612e-15,3.058411104511653e-32
g0021,feynman-i.14.3,srsd,easy dummy,tpsr,0.0309697152231375,0.0312383936323747,0.0310142739137846,0.0322553514009718
g0022,feynman-ii.11.20,srsd,hard dummy,drsr,5725607996.978118,25150677359.14327,44697371583.26997,4.312896336687668
g0022,feynman-ii.11.20,srsd,hard dummy,dso,0.913812272603486,1.0506258923768226,1.0430071179678042,1.8972718530320703e+96
g0022,feynman-ii.11.20,srsd,hard dummy,gplearn,1.6846573973507832e+55,8.486176096656814e+55,1.1271105668933957e+56,4.479837043729042e+49
