dataset_id,global_index,dataset_name,family,subgroup,selection_mode,candidate_advantage_side,method_total,valid_method_count,valid_methods,missing_or_invalid_methods,mean_valid_nmse,median_valid_nmse,mean_id_nmse,median_id_nmse,mean_ood_nmse,median_ood_nmse,mean_log10_id_nmse,median_log10_id_nmse,mean_log10_ood_nmse,median_log10_ood_nmse,mean_id_r2,median_id_r2,mean_ood_r2,median_ood_r2,mean_runtime,median_runtime,mean_complexity,median_complexity,mean_expression_chars,status_ok,status_timed_out,timeout_budget_exhausted_with_output,timeout_partial_output,timeout_no_valid_output,timeout_not_timeout
g0043,43,feynman-i.18.4,srsd,srsd/srsd-feynman_medium_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,268.305,0.528096,280.898,0.44736,728.985,0.489739,-1.94184,-0.349343,-2.61908,-0.310035,-280.157,0.552227,-729.066,0.509535,3133.52,3604.8,17.1429,17,326.429,2,5,5,0,0,2
g0044,44,feynman-bonus.5,srsd,srsd/srsd-feynman_hard_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,3.350709e+31,0.241761,3.204749e+31,0.2875,3.271238e+32,1.08548,7.67955,-0.541362,8.33701,0.0356216,-4.015990e+31,0.639723,-2.561455e+34,-83.9956,3133.26,3604.95,786.571,20,3364.29,2,5,5,0,0,2
g0045,45,feynman-i.11.19,srsd,srsd/srsd-feynman_medium_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,4.493815e+15,0.659699,4.350115e+15,0.68714,2.536661e+16,0.683772,-1.9072,-0.162955,-5.91952,-0.165088,-4.357580e+15,0.311681,-2.543654e+16,0.314343,3133.56,3604.19,15.5714,13,348.857,2,5,5,0,0,2
g0046,46,feynman-ii.15.4,srsd,srsd/srsd-feynman_easy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,4.534295e+39,1573.67,6.223011e+39,1798.23,2.389109e+59,81.3036,11.0752,3.25485,11.9873,1.91011,-6.224253e+39,-1797.59,-2.391101e+59,-80.3714,2763.79,3604.29,10.1429,9,280.571,3,4,4,0,0,3
g0047,47,feynman-i.15.3x,srsd,srsd/srsd-feynman_hard_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,5.636569e+25,0.997773,7.307172e+25,0.997978,4.668915e+27,0.999945,4.27211,-0.000879038,6.83613,-2.401756e-05,-7.316459e+25,0.000753643,-4.669190e+27,-3.553589e-06,3134.19,3606.34,70.5714,14,679.429,2,5,5,0,0,2
g0048,48,feynman-bonus.17,srsd,srsd/srsd-feynman_hard,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,0.809166,0.910389,0.811355,0.916657,1.79161,0.999688,-4.46894,-0.0377929,-4.332,-0.000135403,0.108041,-0.00772358,-0.843067,-0.0283993,3134.4,3606.53,1068,20,5836.71,2,5,5,0,0,2
g0049,49,feynman-iii.15.27,srsd,srsd/srsd-feynman_easy_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,2.186871e+15,0.938495,6.696160e+15,0.897606,2.073077e+20,1.01136,1.38416,-0.0469144,2.61299,0.00490423,-6.697321e+15,0.102239,-2.073738e+20,-0.0116787,3133.54,3605.93,248.714,20,1222.57,2,5,5,0,0,2
g0050,50,feynman-i.24.6,srsd,srsd/srsd-feynman_medium_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,0.710025,0.909738,0.625042,0.816718,0.674085,0.98459,-2.28314,-0.0879278,-4.6263,-0.00674454,0.346868,0.146578,-17.8743,-26.5684,3133.57,3605.58,166.286,20,1310.86,2,5,5,0,0,2
g0051,51,feynman-bonus.10,srsd,srsd/srsd-feynman_hard_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,1.709252e+28,0.999992,1.696207e+28,1.00002,6.989823e+32,1,6.18249,6.551638e-06,8.1604,1.903405e-06,-1.699627e+28,-0.00203173,-6.993290e+32,-0.000500263,3134.87,3606.81,18.7143,17,322.286,2,5,5,0,0,2
g0052,52,feynman-i.18.12,srsd,srsd/srsd-feynman_easy_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,0.503629,0.862478,0.513316,0.866946,5.83293,1.4102,-5.83422,-0.0620081,-9.98551,0.149282,0.486676,0.133041,-4.84715,-0.41364,2670.61,3604.48,16.5714,9,310.857,3,4,4,0,0,3
