dataset_id,global_index,dataset_name,dataset_dir,family,subgroup,selection_mode,candidate_advantage_side,method_count,valid_output_methods,valid_output_method_names,status_ok,status_timed_out,status_error
g0011,11,feynman-i.25.13,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.25.13,srsd,srsd/srsd-feynman_easy_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,3,4,0
g0012,12,feynman-i.26.2,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.26.2,srsd,srsd/srsd-feynman_easy_dummy,strict,pysr,7,6,drsr;dso;gplearn;llmsr;pysr;tpsr,4,3,0
g0013,13,feynman-bonus.20,sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.20,srsd,srsd/srsd-feynman_hard,strict,pysr,7,6,drsr;dso;gplearn;llmsr;pysr;tpsr,2,5,0
g0014,14,feynman-i.14.4,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.14.4,srsd,srsd/srsd-feynman_easy_dummy,strict,pysr,7,6,drsr;dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0015,15,feynman-i.41.16,sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16,srsd,srsd/srsd-feynman_hard,strict,pysr,7,6,drsr;dso;gplearn;llmsr;pysr;tpsr,3,4,0
g0016,16,first_principles_newton,sim-datasets-data/srbench2025/firstprinciples/first_principles_newton,srbench2025,srbench2025/firstprinciples,strict,pysr,7,5,dso;llmsr;pyoperon;pysr;tpsr,3,4,0
g0017,17,feynman-ii.11.28,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.28,srsd,srsd/srsd-feynman_hard,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,4,3,0
g0018,18,feynman-i.38.12,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.38.12,srsd,srsd/srsd-feynman_medium_dummy,strict,pysr,7,6,drsr;dso;gplearn;llmsr;pysr;tpsr,2,5,0
g0019,19,feynman-ii.15.5,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.5,srsd,srsd/srsd-feynman_easy_dummy,strict,pysr,7,6,drsr;dso;gplearn;llmsr;pysr;tpsr,2,5,0
g0020,20,feynman-i.29.4,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.29.4,srsd,srsd/srsd-feynman_medium_dummy,strict,pysr,7,5,drsr;dso;llmsr;pysr;tpsr,2,5,0
g0021,21,feynman-i.14.3,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.14.3,srsd,srsd/srsd-feynman_easy_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
